1036716,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,2,PAO CAIXA MB,UN,P,D,1885,4191,1287,25,31,2021-08-13T05:16:43,0,0,4020,12,2021-08-13T05:47:07,10,0,0,3354,470,20210813,admin,82720,313293,00002-771,270,CX,UN,3,52,D
1037629,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,1,PAO REGULAR CONG.-CAIXA MB,UN,P,D,259,4191,395,1,20,2021-08-13T16:28:08,0,0,1320,7,2021-08-13T16:30:03,10,0,0,1428,471,20210813,admin,82720,313269,00001-771,270,CX,UN,3,52,D
1036712,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,1,PAO REGULAR CONG.-CAIXA MB,UN,P,D,268,4191,395,1,20,2021-08-13T05:16:38,0,0,1320,7,2021-08-13T05:47:07,10,0,0,1419,471,20210813,admin,82720,313269,00001-771,270,CX,UN,3,52,D
1037629,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,1,PAO REGULAR CONGELADO FSB,UN,P,D,259,4191,395,1,20,2021-08-13T16:28:08,0,0,1320,7,2021-08-13T16:30:03,10,0,0,1428,215,20210813,admin,82740,17777,00001-068,60,BJ,UN,3,33,D
1036712,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,1,PAO REGULAR CONGELADO FSB,UN,P,D,268,4191,395,1,20,2021-08-13T05:16:38,0,0,1320,7,2021-08-13T05:47:07,10,0,0,1419,215,20210813,admin,82740,17777,00001-068,60,BJ,UN,3,33,D
1037629,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,1,PAO REGULAR SECO - FSB,UN,P,D,259,4191,395,1,20,2021-08-13T16:28:08,0,0,1320,7,2021-08-13T16:30:03,10,0,0,1428,402,20210813,admin,82740,3025,00001-099,60,BJ,UN,2,37,D
1036712,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,1,PAO REGULAR SECO - FSB,UN,P,D,268,4191,395,1,20,2021-08-13T05:16:38,0,0,1320,7,2021-08-13T05:47:07,10,0,0,1419,402,20210813,admin,82740,3025,00001-099,60,BJ,UN,2,37,D
1036728,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,7,PAO - SECO - FSB BJ. C/,UN,P,D,476,4191,301,3,2,2021-08-13T05:16:57,0,0,864,66,2021-08-13T05:47:07,10,0,0,618,403,20210813,admin,82740,313613,00439-009,60,BJ,UN,2,37,D
1036728,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,7,PAO  CONG. MB - CX,UN,P,D,476,4191,301,3,2,2021-08-13T05:16:57,0,0,864,66,2021-08-13T05:47:07,10,0,0,618,472,20210813,admin,82720,313648,00439-006,192,CX,UN,3,52,D
1036728,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,7,PAO CONG.FSB,UN,P,D,476,4191,301,3,2,2021-08-13T05:16:57,0,0,864,66,2021-08-13T05:47:07,10,0,0,618,217,20210813,admin,82740,313621,00439-012,48,BJ,UN,3,33,D
